positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,TMLE,TMLE (IPS),2,delta,0.102151528009411,0.0993750130352581,0.149998619629671,0.00124893042001468,0.00119564300126148,1.04456800123196,5.34707805528506e-05,0.00489571728485052,0.0027765149741532,0.386,-0.0478470916202597,0,0.0217717247823869,9.13859758816253e-06,0,0.00229077373870399
no,1e+05,IPTW,IPTW (IPS),3,delta,0.122919212146867,0.127008270141078,0.149998619629671,0.00235831110042559,0.00152471215022061,1.54672545902147,6.81872002802631e-05,0.00924440964235034,-0.00408905799421121,0.652,-0.0270794074828042,0,0.0213023942316351,1.90451424210529e-05,0,0.000735619056760784
no,1e+05,HAJEK,HAJEK (IPS),3,delta,0.132823927540689,0.127008270141078,0.149998619629671,0.00160984169315595,0.00153808266679988,1.04665485666344,6.8785147959574e-05,0.00631046347879328,0.00581565739961097,0.048,-0.017174692088982,0,0.00955991631762538,3.61875692795601e-05,0,0.000297335746641253
no,1e+05,OSE,OSE (IPS),3,delta,0.131964603307562,0.127008270141078,0.149998619629671,0.00159860832683808,0.0015217902151858,1.05047877879994,6.80565273729896e-05,0.00626642949197695,0.00495633316648434,0.106,-0.0180340163221087,0,0.0137669168661687,2.68810839162279e-05,0,0.000327541590165118
no,1e+05,TMLE,TMLE (IPS),3,delta,0.129601269249216,0.127008270141078,0.149998619629671,0.00165187589839285,0.00155469685961768,1.06250674411156,6.95281572502118e-05,0.00647523453555944,0.00259299910813817,0.66,-0.0203973503804548,0,0.0211849002829846,9.14072670011045e-06,0,0.000418468984868347
no,1e+05,IPTW,IPTW (IPS),4,delta,0.133326181157726,0.140664963581567,0.149998619629671,0.00259920968971648,0.00168363662301287,1.54380681329276,7.52945187692991e-05,0.0101887147602237,-0.00733878242384086,0.08,-0.0166724384719449,0,0.0121326007104825,5.66923597428257e-05,0,0.000280804836879138
no,1e+05,HAJEK,HAJEK (IPS),4,delta,0.145934693603833,0.140664963581567,0.149998619629671,0.00179470051989868,0.00170701358319122,1.05136862270512,7.63399682106212e-05,0.00703509676407344,0.00526973002226569,0.142,-0.00406392602583833,0.38,0.0156099967969247,3.06839498807677e-05,0.0217071416819442,1.94293901166854e-05
no,1e+05,OSE,OSE (IPS),4,delta,0.145790366641706,0.140664963581567,0.149998619629671,0.0017848466228951,0.00169433499312425,1.05342015016992,7.57729644256494e-05,0.00699647019760467,0.00512540306013895,0.154,-0.00420825298796507,0.336,0.016142118820031,2.91405275978071e-05,0.0211236360506424,2.05801642796423e-05
no,1e+05,TMLE,TMLE (IPS),4,delta,0.142792513014006,0.140664963581567,0.149998619629671,0.00186543424061271,0.00174341345618707,1.06998958508242,7.79678200184427e-05,0.00731236785425746,0.00212754943243874,0.814,-0.00720610661566528,0.016,0.0174013792556797,7.56595706668453e-06,0.00561141693336006,5.49674630355491e-05
no,1e+05,IPTW,IPTW (IPS),10,delta,0.139942640679495,0.149973925697323,0.149998619629671,0.00275729620859946,0.00178925088433929,1.54103386659364,8.00177321236852e-05,0.0108084025271276,-0.0100312850178279,0.006,-0.0100559789501759,0.006,0.00345369367489359,0.000103828097836007,0.00345369367489359,0.00010432413137349
no,1e+05,HAJEK,HAJEK (IPS),10,delta,0.15452063465236,0.149973925697323,0.149998619629671,0.00191931168615301,0.00182187576015347,1.05348110344875,8.14767609252452e-05,0.0075235635599335,0.0045467089550374,0.34,0.0045220150226894,0.342,0.0211849002829846,2.3991793607252e-05,0.0212149004239945,2.37678511508634e-05
no,1e+05,OSE,OSE (IPS),10,delta,0.155009835878103,0.149973925697323,0.149998619629671,0.00191209014264357,0.00181411441620832,1.05400746808464,8.11296630720828e-05,0.00749525562955088,0.00503591018077957,0.214,0.00501121624843157,0.224,0.0183414285157945,2.86514024639741e-05,0.0186453211289052,2.84032994036394e-05
no,1e+05,TMLE,TMLE (IPS),10,delta,0.151616399112847,0.149973925697323,0.149998619629671,0.0020174278143102,0.00187828571405385,1.07407930498287,8.39994907558228e-05,0.00790817171491471,0.00164247341552408,0.9,0.00161777948317608,0.9,0.0134164078649987,6.22567614432211e-06,0.0134164078649987,6.14516767980425e-06
no,1e+05,IPTW,IPTW (ITT),1e-06,alpha,0.139959667658777,0.149998619629671,0.149998619629671,0.00275770817762411,0.00178952757369521,1.54102580935911,8.00301060478553e-05,0.0108100174160297,-0.0100389519708935,0.006,-0.0100389519708935,0.006,0.00345369367489359,0.000103982965610923,0.00345369367489359,0.000103982965610923
no,1e+05,HAJEK,HAJEK (ITT),1e-06,alpha,0.154542996730399,0.149998619629671,0.149998619629671,0.00191964001497818,0.00182217979547805,1.05348551210039,8.14903577983116e-05,0.00752485058527834,0.00454437710072765,0.34,0.00454437710072765,0.34,0.0211849002829846,2.39717024406663e-05,0.0211849002829846,2.39717024406663e-05
no,1e+05,OSE,OSE (ITT),1e-06,alpha,0.155034029359372,0.149998619629671,0.149998619629671,0.00191242741298481,0.00181443456747623,1.05400737357251,8.11439806720457e-05,0.00749657770499466,0.00503540972970078,0.216,0.00503540972970078,0.216,0.0184034779321736,2.8647523945618e-05,0.0184034779321736,2.8647523945618e-05
no,1e+05,TMLE,TMLE (ITT),1e-06,alpha,0.153500342112985,0.149998619629671,0.149998619629671,0.00187477988599797,0.00183966172663984,1.01908946566077,8.22721735274265e-05,0.00734900211099226,0.00350172248331397,0.528,0.00350172248331397,0.528,0.0223255906976725,1.56464156186101e-05,0.0223255906976725,1.56464156186101e-05
no,1e+05,IPTW,IPTW (ITT),0.01,alpha,0.139959667658777,0.149998619629671,0.149998619629671,0.00275770817762411,0.00178952757369521,1.54102580935911,8.00301060478553e-05,0.0108100174160297,-0.0100389519708935,0.006,-0.0100389519708935,0.006,0.00345369367489359,0.000103982965610923,0.00345369367489359,0.000103982965610923
no,1e+05,HAJEK,HAJEK (ITT),0.01,alpha,0.154542996730399,0.149998619629671,0.149998619629671,0.00191964001497818,0.00182217979547805,1.05348551210039,8.14903577983116e-05,0.00752485058527834,0.00454437710072765,0.34,0.00454437710072765,0.34,0.0211849002829846,2.39717024406663e-05,0.0211849002829846,2.39717024406663e-05
no,1e+05,OSE,OSE (ITT),0.01,alpha,0.155034029359372,0.149998619629671,0.149998619629671,0.00191242741298481,0.00181443456747623,1.05400737357251,8.11439806720457e-05,0.00749657770499466,0.00503540972970078,0.216,0.00503540972970078,0.216,0.0184034779321736,2.8647523945618e-05,0.0184034779321736,2.8647523945618e-05
no,1e+05,TMLE,TMLE (ITT),0.01,alpha,0.153500342112985,0.149998619629671,0.149998619629671,0.00187477988599797,0.00183966172663984,1.01908946566077,8.22721735274265e-05,0.00734900211099226,0.00350172248331397,0.528,0.00350172248331397,0.528,0.0223255906976725,1.56464156186101e-05,0.0223255906976725,1.56464156186101e-05
no,1e+05,IPTW,IPTW (ITT),0.02,alpha,0.139959667658777,0.149998619629671,0.149998619629671,0.00275770817762411,0.00178952757369521,1.54102580935911,8.00301060478553e-05,0.0108100174160297,-0.0100389519708935,0.006,-0.0100389519708935,0.006,0.00345369367489359,0.000103982965610923,0.00345369367489359,0.000103982965610923
no,1e+05,HAJEK,HAJEK (ITT),0.02,alpha,0.154542996730399,0.149998619629671,0.149998619629671,0.00191964001497818,0.00182217979547805,1.05348551210039,8.14903577983116e-05,0.00752485058527834,0.00454437710072765,0.34,0.00454437710072765,0.34,0.0211849002829846,2.39717024406663e-05,0.0211849002829846,2.39717024406663e-05
no,1e+05,OSE,OSE (ITT),0.02,alpha,0.155034029359372,0.149998619629671,0.149998619629671,0.00191242741298481,0.00181443456747623,1.05400737357251,8.11439806720457e-05,0.00749657770499466,0.00503540972970078,0.216,0.00503540972970078,0.216,0.0184034779321736,2.8647523945618e-05,0.0184034779321736,2.8647523945618e-05
no,1e+05,TMLE,TMLE (ITT),0.02,alpha,0.153500342112985,0.149998619629671,0.149998619629671,0.00187477988599797,0.00183966172663984,1.01908946566077,8.22721735274265e-05,0.00734900211099226,0.00350172248331397,0.528,0.00350172248331397,0.528,0.0223255906976725,1.56464156186101e-05,0.0223255906976725,1.56464156186101e-05
no,1e+05,IPTW,IPTW (ITT),0.03,alpha,0.139959667658777,0.149998619629671,0.149998619629671,0.00275770817762411,0.00178952757369521,1.54102580935911,8.00301060478553e-05,0.0108100174160297,-0.0100389519708935,0.006,-0.0100389519708935,0.006,0.00345369367489359,0.000103982965610923,0.00345369367489359,0.000103982965610923
no,1e+05,HAJEK,HAJEK (ITT),0.03,alpha,0.154542996730399,0.149998619629671,0.149998619629671,0.00191964001497818,0.00182217979547805,1.05348551210039,8.14903577983116e-05,0.00752485058527834,0.00454437710072765,0.34,0.00454437710072765,0.34,0.0211849002829846,2.39717024406663e-05,0.0211849002829846,2.39717024406663e-05
no,1e+05,OSE,OSE (ITT),0.03,alpha,0.155034029359372,0.149998619629671,0.149998619629671,0.00191242741298481,0.00181443456747623,1.05400737357251,8.11439806720457e-05,0.00749657770499466,0.00503540972970078,0.216,0.00503540972970078,0.216,0.0184034779321736,2.8647523945618e-05,0.0184034779321736,2.8647523945618e-05
no,1e+05,TMLE,TMLE (ITT),0.03,alpha,0.153500342112985,0.149998619629671,0.149998619629671,0.00187477988599797,0.00183966172663984,1.01908946566077,8.22721735274265e-05,0.00734900211099226,0.00350172248331397,0.528,0.00350172248331397,0.528,0.0223255906976725,1.56464156186101e-05,0.0223255906976725,1.56464156186101e-05
no,1e+05,IPTW,IPTW (ITT),0.04,alpha,0.139959667658777,0.149998619629671,0.149998619629671,0.00275770817762411,0.00178952757369521,1.54102580935911,8.00301060478553e-05,0.0108100174160297,-0.0100389519708935,0.006,-0.0100389519708935,0.006,0.00345369367489359,0.000103982965610923,0.00345369367489359,0.000103982965610923
no,1e+05,HAJEK,HAJEK (ITT),0.04,alpha,0.154542996730399,0.149998619629671,0.149998619629671,0.00191964001497818,0.00182217979547805,1.05348551210039,8.14903577983116e-05,0.00752485058527834,0.00454437710072765,0.34,0.00454437710072765,0.34,0.0211849002829846,2.39717024406663e-05,0.0211849002829846,2.39717024406663e-05
no,1e+05,OSE,OSE (ITT),0.04,alpha,0.155034029359372,0.149998619629671,0.149998619629671,0.00191242741298481,0.00181443456747623,1.05400737357251,8.11439806720457e-05,0.00749657770499466,0.00503540972970078,0.216,0.00503540972970078,0.216,0.0184034779321736,2.8647523945618e-05,0.0184034779321736,2.8647523945618e-05
no,1e+05,TMLE,TMLE (ITT),0.04,alpha,0.153500342112985,0.149998619629671,0.149998619629671,0.00187477988599797,0.00183966172663984,1.01908946566077,8.22721735274265e-05,0.00734900211099226,0.00350172248331397,0.528,0.00350172248331397,0.528,0.0223255906976725,1.56464156186101e-05,0.0223255906976725,1.56464156186101e-05
no,1e+05,IPTW,IPTW (ITT),0.05,alpha,0.139959667658777,0.149998619629671,0.149998619629671,0.00275770817762411,0.00178952757369521,1.54102580935911,8.00301060478553e-05,0.0108100174160297,-0.0100389519708935,0.006,-0.0100389519708935,0.006,0.00345369367489359,0.000103982965610923,0.00345369367489359,0.000103982965610923
no,1e+05,HAJEK,HAJEK (ITT),0.05,alpha,0.154542996730399,0.149998619629671,0.149998619629671,0.00191964001497818,0.00182217979547805,1.05348551210039,8.14903577983116e-05,0.00752485058527834,0.00454437710072765,0.34,0.00454437710072765,0.34,0.0211849002829846,2.39717024406663e-05,0.0211849002829846,2.39717024406663e-05
no,1e+05,OSE,OSE (ITT),0.05,alpha,0.155034029359372,0.149998619629671,0.149998619629671,0.00191242741298481,0.00181443456747623,1.05400737357251,8.11439806720457e-05,0.00749657770499466,0.00503540972970078,0.216,0.00503540972970078,0.216,0.0184034779321736,2.8647523945618e-05,0.0184034779321736,2.8647523945618e-05
no,1e+05,TMLE,TMLE (ITT),0.05,alpha,0.153500342112985,0.149998619629671,0.149998619629671,0.00187477988599797,0.00183966172663984,1.01908946566077,8.22721735274265e-05,0.00734900211099226,0.00350172248331397,0.528,0.00350172248331397,0.528,0.0223255906976725,1.56464156186101e-05,0.0223255906976725,1.56464156186101e-05
no,1e+05,IPTW,IPTW (RIT),1e-06,alpha,0.139959667658777,0.149998619629671,0.149998619629671,0.00275770817762411,0.00178952757369521,1.54102580935911,8.00301060478553e-05,0.0108100174160297,-0.0100389519708935,0.006,-0.0100389519708935,0.006,0.00345369367489359,0.000103982965610923,0.00345369367489359,0.000103982965610923
no,1e+05,HAJEK,HAJEK (RIT),1e-06,alpha,0.154542996730399,0.149998619629671,0.149998619629671,0.00191964001497818,0.00182217979547805,1.05348551210039,8.14903577983116e-05,0.00752485058527834,0.00454437710072765,0.34,0.00454437710072765,0.34,0.0211849002829846,2.39717024406663e-05,0.0211849002829846,2.39717024406663e-05
no,1e+05,OSE,OSE (RIT),1e-06,alpha,0.155034029359372,0.149998619629671,0.149998619629671,0.00191242741298481,0.00181443456747623,1.05400737357251,8.11439806720457e-05,0.00749657770499466,0.00503540972970078,0.216,0.00503540972970078,0.216,0.0184034779321736,2.8647523945618e-05,0.0184034779321736,2.8647523945618e-05
no,1e+05,TMLE,TMLE (RIT),1e-06,alpha,0.153500342112985,0.149998619629671,0.149998619629671,0.00187477988599797,0.00183966172663984,1.01908946566077,8.22721735274265e-05,0.00734900211099226,0.00350172248331397,0.528,0.00350172248331397,0.528,0.0223255906976725,1.56464156186101e-05,0.0223255906976725,1.56464156186101e-05
no,1e+05,IPTW,IPTW (RIT),0.01,alpha,0.139959667658777,0.149998619629671,0.149998619629671,0.00275770817762411,0.00178952757369521,1.54102580935911,8.00301060478553e-05,0.0108100174160297,-0.0100389519708935,0.006,-0.0100389519708935,0.006,0.00345369367489359,0.000103982965610923,0.00345369367489359,0.000103982965610923
no,1e+05,HAJEK,HAJEK (RIT),0.01,alpha,0.154542996730399,0.149998619629671,0.149998619629671,0.00191964001497818,0.00182217979547805,1.05348551210039,8.14903577983116e-05,0.00752485058527834,0.00454437710072765,0.34,0.00454437710072765,0.34,0.0211849002829846,2.39717024406663e-05,0.0211849002829846,2.39717024406663e-05
