positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,IPTW,IPTW (IPS),1e-06,delta,5.86614677603222e-08,5.71201187460346e-08,0.149998619629671,1.01844707975487e-09,6.71399174428142e-10,1.51690249041835,3.00258838811713e-11,3.99223919295909e-09,1.54134901428762e-09,0.76,-0.149998560968203,0,0.0190997382181013,2.8265336352682e-18,0,0.0224995682925318
no,1e+05,HAJEK,HAJEK (IPS),1e-06,delta,5.86614679236597e-08,5.71201187460346e-08,0.149998619629671,6.64428548805555e-10,6.7139918692207e-10,0.989617744179181,3.00258844399167e-11,2.6045120519182e-09,1.54134917762507e-09,0.35,-0.149998560968203,0,0.0213307290077015,2.8265341555651e-18,0,0.0224995682925317
no,1e+05,OSE,OSE (IPS),1e-06,delta,5.78195750464553e-08,5.71201187460346e-08,0.149998619629671,6.87244284197122e-10,6.79170311294117e-10,1.01188799446728,3.03734196870668e-11,2.69394809121474e-09,6.99456300420741e-10,0.832,-0.149998561810096,0,0.0167198086113448,9.50511427941617e-19,0,0.0224995685450972
no,1e+05,TMLE,TMLE (IPS),1e-06,delta,5.78544787621649e-08,5.71201187460346e-08,0.149998619629671,6.87244284187611e-10,6.7851343185307e-10,1.01286761901042,3.03440431454027e-11,2.69394809117745e-09,7.34360016130273e-10,0.826,-0.149998561775192,0,0.0169542914921267,9.99665110495885e-19,0,0.0224995685346262
no,1e+05,IPTW,IPTW (IPS),1,delta,0.0568340824094057,0.0551496387656171,0.149998619629671,0.00100925979987804,0.000662406639145183,1.52362573113769,2.9623725477516e-05,0.00395622571761013,0.00168444364378861,0.68,-0.0931645372202653,0,0.0208614476966485,3.27613294468347e-06,0,0.00868006977802178
no,1e+05,HAJEK,HAJEK (IPS),1,delta,0.0579434799152863,0.0551496387656171,0.149998619629671,0.000660641730164914,0.000659037305364187,1.00243449769485,2.94730442900522e-05,0.00258966799561492,0.00279384114966916,0.012,-0.0920551397143848,0,0.00486949689393062,8.23987853944636e-06,0,0.00847458307800476
no,1e+05,OSE,OSE (IPS),1,delta,0.0560101102491143,0.0551496387656171,0.149998619629671,0.00067003695307643,0.000667341037161202,1.0040397874027,2.98443984653532e-05,0.00262649659268151,0.000860471483497206,0.754,-0.0939885093805567,0,0.0192605295877346,1.18575523379127e-06,0,0.00883428523963888
no,1e+05,TMLE,TMLE (IPS),1,delta,0.0559862652843348,0.0551496387656171,0.149998619629671,0.000673638952889128,0.000667712125571464,1.00887632123288,2.98609940435734e-05,0.00264061617249193,0.000836626518717677,0.768,-0.0940123543453362,0,0.0188772879408034,1.14578341445682e-06,0,0.0088387686090357
no,1e+05,IPTW,IPTW (IPS),2,delta,0.0993892753947238,0.0993750130352581,0.149998619629671,0.00184754883172571,0.00122203801582901,1.51185872108273,5.46512014896525e-05,0.0072422583397229,1.42623594657362e-05,0.996,-0.0506093442349472,0,0.00282276460230038,1.49358032702883e-06,0,0.00256279910080351
no,1e+05,HAJEK,HAJEK (IPS),2,delta,0.104754801886571,0.0993750130352581,0.149998619629671,0.0012355242917597,0.00121468205228322,1.01715859671862,5.43222327990847e-05,0.00484316622774673,0.00537978885131331,0.008,-0.0452438177430996,0,0.0039839678713564,3.0417580572854e-05,0,0.00204847849645895
