positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,HAJEK,HAJEK (IPS),4,delta,0.14071586833834,0.140663375588949,0.14999628283083,0.00195657812814524,0.00197435631295753,0.99099545269736,8.82958985515778e-05,0.00766964532820692,5.24927493913563e-05,0.944,-0.00928041449248963,0.002,0.0102824121683582,3.90083833925392e-06,0.00199799899899875,9.00241760029269e-05
no,1e+05,OSE,OSE (IPS),4,delta,0.140715599162711,0.140663375588949,0.14999628283083,0.00197453683753125,0.00197415186771705,1.00019500516677,8.82867554824698e-05,0.00774004217541773,5.2223573761612e-05,0.946,-0.00928068366811938,0.002,0.0101078187557949,3.90000289846714e-06,0.00199799899899875,9.00283649445085e-05
no,1e+05,TMLE,TMLE (IPS),4,delta,0.140715283874554,0.140663375588949,0.14999628283083,0.00193819634442341,0.00197669065311491,0.980525881158568,8.84002934170681e-05,0.00759759006007413,5.1908285604871e-05,0.94,-0.00928099895627612,0,0.0106207344378814,3.9100004082263e-06,0,9.00442475645103e-05
no,1e+05,IPTW,IPTW (IPS),10,delta,0.150026199522187,0.14997159103519,0.14999628283083,0.00315985156829882,0.00224325930716776,1.40859844343555,0.000100321606039724,0.0123863905407162,5.46084869973764e-05,0.992,2.99166913573847e-05,0.992,0.0039839678713564,5.03519440604692e-06,0.0039839678713564,5.03310732761655e-06
no,1e+05,HAJEK,HAJEK (IPS),10,delta,0.150020256415716,0.14997159103519,0.14999628283083,0.00213742457631485,0.00215726606679137,0.990802483392313,9.64758714179819e-05,0.0083785503784958,4.86653805262024e-05,0.942,2.39735848862107e-05,0.942,0.0104533248299285,4.65616520219126e-06,0.0104533248299285,4.65437161570179e-06
no,1e+05,OSE,OSE (IPS),10,delta,0.150019909627213,0.14997159103519,0.14999628283083,0.00217298921789702,0.00215879250857077,1.00657622688141,9.65441359696309e-05,0.00851796121174402,4.83185920229079e-05,0.942,2.36267963829162e-05,0.944,0.0104533248299285,4.66271978139637e-06,0.0102824121683582,4.66094332056861e-06
no,1e+05,TMLE,TMLE (IPS),10,delta,0.15001972517062,0.14997159103519,0.14999628283083,0.00211894007626765,0.00215696358286544,0.982371743825511,9.64623439255725e-05,0.00830609246976628,4.8134135430014e-05,0.936,2.34423397900223e-05,0.936,0.0109456840809517,4.65480879280131e-06,0.0109456840809517,4.65304144110255e-06
no,1e+05,IPTW,IPTW (ITT),1e-06,alpha,0.150050880106439,0.14999628283083,0.14999628283083,0.0031605415016276,0.00224382558779948,1.40855043226739,0.000100346930879461,0.0123890950296685,5.45972756091476e-05,0.992,5.45972756091476e-05,0.992,0.0039839678713564,5.03773413096764e-06,0.0039839678713564,5.03773413096764e-06
no,1e+05,HAJEK,HAJEK (ITT),1e-06,alpha,0.150044936429219,0.14999628283083,0.14999628283083,0.00213791836266213,0.0021577693602266,0.990800222706663,9.64983793846582e-05,0.00838048598540923,4.86535983887312e-05,0.942,4.86535983887312e-05,0.942,0.0104533248299285,4.65833578456889e-06,0.0104533248299285,4.65833578456889e-06
no,1e+05,OSE,OSE (ITT),1e-06,alpha,0.150044589587612,0.14999628283083,0.14999628283083,0.00217354344822818,0.00215930458901137,1.00659418744779,9.65670369031332e-05,0.00852013375472047,4.83067567820705e-05,0.942,4.83067567820705e-05,0.942,0.0104533248299285,4.66492985087635e-06,0.0104533248299285,4.66492985087635e-06
