positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,TMLE,TMLE (IPS),4,delta,0.140672902474205,0.140663375588949,0.14999628283083,0.00192577711129221,0.00177259577899817,1.08641639233769,7.92728931693822e-05,0.00754890756076863,9.52688525645639e-06,0.976,-0.00932338035662453,0,0.00684455988358638,3.14218655726483e-06,0,9.00675170700143e-05
no,1e+05,IPTW,IPTW (IPS),10,delta,0.14997513277929,0.14997159103519,0.14999628283083,0.00316173931831192,0.00194740651273707,1.62356410828066,8.7090666846118e-05,0.0123937903847912,3.54174409982836e-06,0.998,-2.11500515401633e-05,0.998,0.00199799899899875,3.79240466980203e-06,0.00199799899899875,3.79283945053091e-06
no,1e+05,HAJEK,HAJEK (IPS),10,delta,0.14998694335791,0.14997159103519,0.14999628283083,0.00213844407975512,0.00194489439499539,1.09951680937421,8.69783215253605e-05,0.00838254675854585,1.53523227198229e-05,0.976,-9.33947292016883e-06,0.976,0.00684455988358638,3.78284990149739e-06,0.00684455988358638,3.78270143343892e-06
no,1e+05,OSE,OSE (IPS),10,delta,0.149986151505853,0.14997159103519,0.14999628283083,0.00209870784339434,0.00194512815756953,1.07895607558152,8.6988775705488e-05,0.00822678357424925,1.4560470662841e-05,0.972,-1.01313249771507e-05,0.972,0.00737780455149092,3.78373555667578e-06,0.00737780455149092,3.78362619311564e-06
no,1e+05,TMLE,TMLE (IPS),10,delta,0.149986151927965,0.14997159103519,0.14999628283083,0.00209880757104017,0.0019453225794163,1.07889950656406,8.69974705148017e-05,0.00822717449943746,1.4560892774976e-05,0.972,-1.01309028650157e-05,0.972,0.00737780455149092,3.7844919575853e-06,0.00737780455149092,3.78438257317975e-06
no,1e+05,IPTW,IPTW (ITT),1e-06,alpha,0.149999833076542,0.14999628283083,0.14999628283083,0.00316243039284319,0.00194788782130244,1.62351771917166,8.71121916195243e-05,0.012396499347175,3.55024571163317e-06,0.998,3.55024571163317e-06,0.998,0.00199799899899875,3.79427956862298e-06,0.00199799899899875,3.79427956862298e-06
no,1e+05,HAJEK,HAJEK (ITT),1e-06,alpha,0.150011649182847,0.14999628283083,0.14999628283083,0.00213893857823244,0.00194537550620371,1.09949907943812,8.69998374726912e-05,0.00838448515695779,1.5366352017336e-05,0.976,1.5366352017336e-05,0.976,0.00684455988358638,3.78472198491166e-06,0.00684455988358638,3.78472198491166e-06
no,1e+05,OSE,OSE (ITT),1e-06,alpha,0.150010858373136,0.14999628283083,0.14999628283083,0.00209918443454987,0.0019456079235976,1.07893497404569,8.70102314945289e-05,0.00822865177724964,1.45755423055249e-05,0.972,1.45755423055249e-05,0.972,0.00737780455149092,3.78560263879925e-06,0.00737780455149092,3.78560263879925e-06
no,1e+05,TMLE,TMLE (ITT),1e-06,alpha,0.150010853827178,0.14999628283083,0.14999628283083,0.00209912890405224,0.00194565399219172,1.07888088656896,8.70122917446905e-05,0.00822843410169886,1.45709963482072e-05,0.972,1.45709963482072e-05,0.972,0.00737780455149092,3.78578177126615e-06,0.00737780455149092,3.78578177126615e-06
no,1e+05,IPTW,IPTW (ITT),0.01,alpha,0.149999833076542,0.14999628283083,0.14999628283083,0.00316243039284319,0.00194788782130244,1.62351771917166,8.71121916195243e-05,0.012396499347175,3.55024571163317e-06,0.998,3.55024571163317e-06,0.998,0.00199799899899875,3.79427956862298e-06,0.00199799899899875,3.79427956862298e-06
no,1e+05,HAJEK,HAJEK (ITT),0.01,alpha,0.150011649182847,0.14999628283083,0.14999628283083,0.00213893857823244,0.00194537550620371,1.09949907943812,8.69998374726912e-05,0.00838448515695779,1.5366352017336e-05,0.976,1.5366352017336e-05,0.976,0.00684455988358638,3.78472198491166e-06,0.00684455988358638,3.78472198491166e-06
