positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,OSE,OSE (IPS),3,delta,0.126986295447864,0.127007572212735,0.14999628283083,0.00169128014634967,0.00174166609070466,0.971070261616794,7.78896754584387e-05,0.00662969634922598,-2.12767648709875e-05,0.948,-0.023009987382966,0,0.00992935043192656,3.03385347223383e-06,0,0.000532492920135764
no,1e+05,TMLE,TMLE (IPS),3,delta,0.126985164896707,0.127007572212735,0.14999628283083,0.00169153831777216,0.0017418957129717,0.971090464931665,7.78999444784035e-05,0.0066307083626058,-2.2407316027585e-05,0.948,-0.0230111179341226,0,0.00992935043192656,3.03470276268074e-06,0,0.000532545749252967
no,1e+05,IPTW,IPTW (IPS),4,delta,0.140620199771099,0.140663375588949,0.14999628283083,0.00290654859272712,0.00204509551897377,1.42122877184026,9.14594520181114e-05,0.0113934611221215,-4.31758178497934e-05,0.994,-0.00937608305973078,0.036,0.00345369367489359,4.18427983297361e-06,0.0083311463797007,9.20933492246972e-05
no,1e+05,HAJEK,HAJEK (IPS),4,delta,0.140656218415943,0.140663375588949,0.14999628283083,0.0019563342919972,0.0019935997250008,0.981307464815396,8.91564901005334e-05,0.00766868950807037,-7.15717300557278e-06,0.95,-0.00934006441488656,0.002,0.00974679434480897,3.97449108864868e-06,0.00199799899899875,9.12112431377535e-05
no,1e+05,OSE,OSE (IPS),4,delta,0.140647186350801,0.140663375588949,0.14999628283083,0.00192484661099887,0.00198980944599003,0.967352233088412,8.89869836700979e-05,0.00754526006664352,-1.61892381478748e-05,0.952,-0.00934909648002886,0.002,0.00955991631762538,3.95960372278294e-06,0.00199799899899875,9.13649466242392e-05
no,1e+05,TMLE,TMLE (IPS),4,delta,0.140646095991027,0.140663375588949,0.14999628283083,0.00192529662752564,0.00199020363552477,0.967386750360339,8.90046123620122e-05,0.00754702409901337,-1.72795979217319e-05,0.95,-0.00935018683980272,0.002,0.00974679434480897,3.96120909536036e-06,0.00199799899899875,9.1386904450076e-05
no,1e+05,IPTW,IPTW (IPS),10,delta,0.149925022881296,0.14997159103519,0.14999628283083,0.00316081061185794,0.00225033391521926,1.40459626479476,0.00010063799213007,0.0123901499223871,-4.65681538944138e-05,0.994,-7.12599495344055e-05,0.994,0.00345369367489359,5.06617132294316e-06,0.00345369367489359,5.06908071039367e-06
no,1e+05,HAJEK,HAJEK (IPS),10,delta,0.149969136083052,0.14997159103519,0.14999628283083,0.00213718467794702,0.0021788352923916,0.980884000461151,9.74404765112651e-05,0.00837760999417398,-2.45495213842967e-06,0.952,-2.71467477784214e-05,0.954,0.00955991631762538,4.74732925816121e-06,0.00936845771725528,4.74806017728615e-06
no,1e+05,OSE,OSE (IPS),10,delta,0.149961030129409,0.14997159103519,0.14999628283083,0.00209759610532864,0.00217347841905561,0.96508715565718,9.72009098527422e-05,0.00822242564111124,-1.05609057809781e-05,0.952,-3.52527014209698e-05,0.952,0.00955991631762538,4.72411997083137e-06,0.00955991631762538,4.72525119105794e-06
no,1e+05,TMLE,TMLE (IPS),10,delta,0.14996051385491,0.14997159103519,0.14999628283083,0.0020982675926792,0.00217416675374405,0.965090460088148,9.72316931158348e-05,0.00822505782315758,-1.10771802803017e-05,0.952,-3.57689759202934e-05,0.952,0.00955991631762538,4.72712377700891e-06,0.00955991631762538,4.72828049272433e-06
